Companies,Employees,Total Revenue (FY),Revenue per Employee (FY),ROA (Return on Asset) (FY),ROIC (Return on Invested Capital) (FY),Net Profit Margin (FY),EBITDA Margin (FY),Revenue % Growth (FY),Net Debt (FY),Debt to Capital (FY),Total Assets (FY),Price % Change YTD,EV (FY),HQ State/Province,Primary Industry Group,CEO,CEO Total Compensation (in millions)
Accenture (NYS: ACN),"774,000","64,111,745.00","87,464.86",14.04,24.47,10.92,16.08,4.09,"(5,900,573)",0.12,"51,245,305.00",31.51,"199,518,392",,IT Services,Julie Sweet,31.55
Concentrix (IT Services & Consulting) (NAS: CNXC),"450,000","6,324,473.00","20,077.69",2.06,10.34,6.89,15.57,13.20,"2,078,906",0.45,"6,669,768.00",(26.25),"8,554,569",California,Commercial Services,Christopher Caldwell,10.24
Cognizant Technology Solutions (NAS: CTSH),"336,800","19,428,000.00","54,680.55",11.72,16.60,11.79,18.25,4.98,"(967,000)",0.11,"17,852,000.00",32.07,"28,180,167",New Jersey,IT Services,Ravi Kumar Singisetti,22.56
International Business Machines (NYS: IBM),"270,300","60,530,000.00","194,442.66",4.44,3.50,2.95,11.58,5.54,"45,275,000",0.71,"127,243,000.00",16.08,"171,710,363",New York,Computer Hardware,Arvind Krishna,20.40
Microsoft (NAS: MSFT),"228,000","211,915,000.00","958,891.40",18.96,29.16,34.15,48.03,6.88,"(51,291,000)",0.23,"411,976,000.00",56.80,"2,488,183,939",Washington,Software,Satya Nadella,48.51
Alphabet (NAS: GOOGL),"183,323","282,836,000.00","1,486,779.44",23.78,20.65,21.20,29.34,9.78,"(84,083,000)",0.10,"365,264,000.00",58.32,"1,057,666,890",California,Other Financial Services,Sundar Pichai,8.80
Apple (NAS: AAPL),"164,000","383,285,000.00","2,380,652.17",26.93,56.03,25.31,32.68,(2.80),"49,533,000",0.64,"352,583,000.00",48.18,"2,723,534,861",California,Consumer Durables,Timothy Cook,63.21
Oracle (NYS: ORCL),"159,000","49,954,000.00","304,597.56",7.66,13.52,17.02,36.94,17.70,"80,294,000",0.99,"134,384,000.00",28.98,"369,568,024",Texas,Software,Safra Catz,5.25
Genpact (NYS: G),"140,000","4,371,172.00","36,763.43",10.26,10.60,8.08,14.36,8.68,"1,051,372",0.48,"4,588,814.00",(25.06),"9,716,843",New York,IT Services,Balkrishan Kalra,3.95
DXC Technology (NYS: DXC),"130,000","14,430,000.00","111,000.00",0.58,(4.97),(3.92),5.07,(11.28),"3,507,000",0.61,"15,845,000.00",(13.70),"9,787,564",Virginia,IT Services,Raul Fernandez,20.32
Dell Technologies (NYS: DELL),"120,000","102,301,000.00","769,180.45",5.63,12.97,2.37,7.39,1.09,"20,981,000",1.12,"89,611,000.00",90.20,"52,441,131",Texas,Computer Hardware,Michael Dell,2.81
Intel (NAS: INTC),"108,900","63,054,000.00","478,043.97",(9.81),5.71,12.71,32.84,(20.21),"13,669,000",0.29,"182,103,000.00",90.12,"126,040,610",California,Semiconductors,David Zinsner,8.46
Cisco Systems (NAS: CSCO),"90,400","56,998,000.00","671,354.53",9.40,24.13,22.13,28.80,10.55,"(17,755,000)",0.16,"101,852,000.00",6.05,"197,172,026",California,Software,Charles Robbins,31.84
TE Connectivity (NYS: TEL),"87,000","16,034,000.00","178,155.56",14.09,12.33,11.87,19.22,(1.52),"2,668,000",0.27,"21,712,000.00",22.39,"41,962,838",,Commercial Products,Terrence Curtin,16.72
Kyndryl Holdings (NYS: KD),"80,000","17,026,000.00","189,177.78",(3.11),(21.17),(8.08),3.62,(7.05),"1,580,000",0.76,"11,464,000.00",86.87,"5,773,974",New York,IT Services,Martin Schroeter,13.66
Salesforce (NYS: CRM),"76,453","31,352,000.00","394,911.20",6.42,0.39,0.66,14.50,18.35,,0.19,"98,849,000.00",98.46,"170,050,000",California,Software,Marc Benioff,29.87
Automatic Data Processing (NAS: ADP),"64,000","17,198,800.00","272,996.83",6.80,43.33,19.84,24.87,7.18,"1,360,800",0.50,"50,971,000.00",(2.47),"92,292,551",New Jersey,Software,Maria Black,10.68
EPAM Systems (NYS: EPAM),"61,200","4,824,698.00","81,360.84",4.19,14.18,8.69,13.21,28.38,"(1,551,318)",0.06,"4,009,151.00",(9.28),"17,500,424",Pennsylvania,IT Services,Arkadiy Dobkin,7.55
Hewlett Packard Enterprise (NYS: HPE),"61,000","29,135,000.00","469,919.35",9.58,6.27,6.95,16.99,2.24,"9,245,000",0.39,"57,153,000.00",6.39,"30,218,459",Texas,IT Services,Antonio Neri,20.07
WNS (Holdings) (NYS: WNS),"60,125","1,224,262.00","20,488.03",(16.06),14.68,11.22,20.57,10.31,"143,398",0.32,"1,504,448.00",,"4,661,394",New York,Commercial Services,Keshav Murugesh,7.50
ExlService Holdings (NAS: EXLS),"59,500","1,630,668.00","30,197.56",13.02,17.60,11.32,18.50,15.48,"(19,879)",0.23,"1,441,972.00",(8.96),"5,086,084",New York,IT Services,Rohit Kapoor,12.35
HP (NYS: HPQ),"58,000","53,718,000.00","926,172.41",7.37,41.84,6.07,8.32,(14.61),"7,632,000",1.11,"37,004,000.00",11.98,"35,295,117",California,Computer Hardware,Enrique Lores,19.46
Corning (NYS: GLW),"56,300","14,189,000.00","246,765.22",2.12,8.05,9.77,24.85,0.76,"6,146,000",0.39,"29,499,000.00",(4.66),"33,127,215",New York,Commercial Products,Wendell Weeks,15.63
Conduent (NAS: CNDT),"56,000","3,858,000.00","62,225.81",14.75,(4.47),(4.72),4.67,(6.81),"947,000",0.63,"3,571,000.00",(9.88),"1,971,477",New Jersey,Commercial Services,Clifford Skelton,6.47
TTEC Holdings (NAS: TTEC),"52,000","2,462,817.00","41,046.95",10.26,1.08,0.74,5.77,0.78,"957,333",0.65,"2,185,598.00",(50.90),"1,996,585",Colorado,Commercial Services,Kenneth Tuchman,0.10
Western Digital Technologies (NAS: WDC),"51,000","12,318,000.00","232,415.09",(3.30),(7.58),(13.67),(3.52),(34.45),"5,047,000",0.39,"24,546,000.00",65.99,"17,864,227",California,Computer Hardware,David Goeckeler,11.03
Fidelity National Information Services (NYS: FIS),"50,000","9,720,000.00","140,869.57",2.04,1.23,6.01,31.45,4.08,"19,953,000",0.43,"63,278,000.00",(11.47),"57,431,796",Florida,IT Services,Stephanie L. Ferris,19.44
Qualcomm (NAS: QCOM),"49,000","35,820,000.00","716,400.00",19.13,21.68,20.49,26.89,(18.96),"4,074,000",0.42,"51,040,000.00",31.55,"130,755,960",California,Semiconductors,Cristiano Amon,23.49
